Date,Close/Last,Volume,Open,High,Low,count,normalized,symbol
2022-11-08,$139.50,89908480,$140.41,$141.43,$137.49,25.0,0.3987,AAPL.US
2022-11-09,$134.87,74917790,$138.50,$138.55,$134.5933,21.0,0.3994,AAPL.US
2022-11-10,$146.87,118854000,$141.24,$146.87,$139.50,39.0,0.4828,AAPL.US
2022-11-11,$149.70,93979670,$145.82,$150.01,$144.37,20.0,0.7073,AAPL.US
2022-11-14,$148.28,73374110,$148.97,$150.28,$147.43,26.0,0.2847,AAPL.US
2022-11-15,$150.04,89868330,$152.215,$153.59,$148.5613,26.0,0.4048,AAPL.US
2022-11-16,$148.79,64218270,$149.13,$149.87,$147.29,22.0,0.6241,AAPL.US
2022-11-17,$150.72,80389400,$146.43,$151.48,$146.15,14.0,0.6131,AAPL.US
2022-11-18,$151.29,74829570,$152.305,$152.70,$149.97,26.0,0.4653,AAPL.US
2022-11-21,$148.01,58724070,$150.16,$150.37,$147.715,19.0,0.5396,AAPL.US
2022-11-22,$150.18,51804130,$148.13,$150.42,$146.925,23.0,0.6965,AAPL.US
2022-11-23,$151.07,58301400,$149.45,$151.83,$149.34,31.0,0.0995,AAPL.US
2022-11-25,$148.11,35195860,$148.305,$148.88,$147.12,33.0,0.3862,AAPL.US
2022-11-28,$144.22,69346520,$145.14,$146.64,$143.38,52.0,-0.0207,AAPL.US
2022-11-29,$141.17,83763800,$144.29,$144.81,$140.355,63.0,0.0398,AAPL.US
2022-11-30,$148.03,111380900,$141.395,$148.72,$140.55,53.0,0.0814,AAPL.US
2022-12-01,$148.31,71250420,$148.21,$149.13,$146.61,38.0,-0.0713,AAPL.US
2022-12-02,$147.81,65447450,$145.96,$148.00,$145.65,26.0,0.3682,AAPL.US
2022-12-05,$146.63,68826440,$147.77,$150.9199,$145.77,34.0,0.1564,AAPL.US
2022-12-06,$142.91,64727190,$147.075,$147.30,$141.92,43.0,0.3644,AAPL.US
2022-12-07,$140.94,69721090,$142.19,$143.37,$140.00,43.0,0.23,AAPL.US
2022-12-08,$142.65,62128340,$142.36,$143.52,$141.10,22.0,0.1991,AAPL.US
2022-12-09,$142.16,76097010,$142.34,$145.57,$140.90,25.0,0.2823,AAPL.US
2022-12-12,$144.49,70462650,$142.70,$144.50,$141.06,16.0,0.2737,AAPL.US
2022-12-13,$145.47,93886160,$149.50,$149.9692,$144.24,27.0,0.6564,AAPL.US
2022-12-14,$143.21,82291180,$145.35,$146.655,$141.16,16.0,0.4086,AAPL.US
2022-12-15,$136.50,98931910,$141.11,$141.80,$136.025,21.0,0.1472,AAPL.US
2022-12-16,$134.51,160156900,$136.685,$137.65,$133.73,22.0,0.6078,AAPL.US
2022-12-19,$132.37,79592610,$135.11,$135.20,$131.32,23.0,0.4691,AAPL.US
2022-12-20,$132.30,77432820,$131.39,$133.25,$129.89,20.0,0.3975,AAPL.US
2022-12-21,$135.45,85927990,$132.98,$136.81,$132.75,24.0,0.4692,AAPL.US
2022-12-22,$132.23,77852110,$134.352,$134.56,$130.30,21.0,0.379,AAPL.US
2022-12-23,$131.86,63814890,$130.92,$132.415,$129.64,13.0,0.4588,AAPL.US
2022-12-27,$130.03,69007830,$131.38,$131.41,$128.72,26.0,0.2547,AAPL.US
2022-12-28,$126.04,85438390,$129.67,$131.0275,$125.87,27.0,0.2649,AAPL.US
2022-12-29,$129.61,75703710,$127.99,$130.4814,$127.73,27.0,0.3943,AAPL.US
2022-12-30,$129.93,77034210,$128.41,$129.95,$127.43,22.0,0.2355,AAPL.US
2023-01-03,$125.07,112117500,$130.28,$130.90,$124.17,40.0,0.1977,AAPL.US
2023-01-04,$126.36,89113630,$126.89,$128.6557,$125.08,42.0,0.1409,AAPL.US
2023-01-05,$125.02,80962710,$127.13,$127.77,$124.76,25.0,0.3639,AAPL.US
2023-01-06,$129.62,87754720,$126.01,$130.29,$124.89,20.0,0.6063,AAPL.US
2023-01-09,$130.15,70790810,$130.465,$133.41,$129.89,33.0,0.3944,AAPL.US
2023-01-10,$130.73,63896160,$130.26,$131.2636,$128.12,34.0,0.4647,AAPL.US
2023-01-11,$133.49,69458950,$131.25,$133.51,$130.46,35.0,0.3867,AAPL.US
2023-01-12,$133.41,71379650,$133.88,$134.26,$131.44,26.0,0.3819,AAPL.US
