Close,Pred_Close_Tmrw,Close_Lagged_10,Close_Lagged_9,Close_Lagged_8,Close_Lagged_7,Close_Lagged_6,Close_Lagged_5,Close_Lagged_4,Close_Lagged_3,Close_Lagged_2,Close_Lagged_1,Sentiment,Sent_Lagged_10,Sent_Lagged_9,Sent_Lagged_8,Sent_Lagged_7,Sent_Lagged_6,Sent_Lagged_5,Sent_Lagged_4,Sent_Lagged_3,Sent_Lagged_2,Sent_Lagged_1,TBill_Delta_30
175.16,174.01803588867188,179.58,180.95,180.09,177.25,177.3,175.43,172.99,171.84,171.56,174.2,0.4023,0.5711,0.5531,0.4807,0.7522,0.9074,0.948,0.8473,0.9538,0.4025,0.4116,-0.22800000000000065
174.2,174.7334442138672,179.21,179.58,180.95,180.09,177.25,177.3,175.43,172.99,171.84,171.56,0.4116,0.4193,0.5711,0.5531,0.4807,0.7522,0.9074,0.948,0.8473,0.9538,0.4025,-0.22800000000000065
171.56,174.1503448486328,177.82,179.21,179.58,180.95,180.09,177.25,177.3,175.43,172.99,171.84,0.4025,0.7054,0.4193,0.5711,0.5531,0.4807,0.7522,0.9074,0.948,0.8473,0.9538,-0.22800000000000065
171.84,174.523193359375,180.57,177.82,179.21,179.58,180.95,180.09,177.25,177.3,175.43,172.99,0.9538,0.5839,0.7054,0.4193,0.5711,0.5531,0.4807,0.7522,0.9074,0.948,0.8473,-0.22800000000000065
172.99,174.26329040527344,180.96,180.57,177.82,179.21,179.58,180.95,180.09,177.25,177.3,175.43,0.8473,0.3597,0.5839,0.7054,0.4193,0.5711,0.5531,0.4807,0.7522,0.9074,0.948,-0.22800000000000065
175.43,174.33538818359375,183.79,180.96,180.57,177.82,179.21,179.58,180.95,180.09,177.25,177.3,0.948,0.5959,0.3597,0.5839,0.7054,0.4193,0.5711,0.5531,0.4807,0.7522,0.9074,-0.22800000000000065
177.3,174.1623992919922,183.31,183.79,180.96,180.57,177.82,179.21,179.58,180.95,180.09,177.25,0.9074,0.6293,0.5959,0.3597,0.5839,0.7054,0.4193,0.5711,0.5531,0.4807,0.7522,-0.22800000000000065
177.25,174.5528106689453,183.95,183.31,183.79,180.96,180.57,177.82,179.21,179.58,180.95,180.09,0.7522,0.7591,0.6293,0.5959,0.3597,0.5839,0.7054,0.4193,0.5711,0.5531,0.4807,-0.22800000000000065
180.09,174.63958740234375,186.01,183.95,183.31,183.79,180.96,180.57,177.82,179.21,179.58,180.95,0.4807,0.7667,0.7591,0.6293,0.5959,0.3597,0.5839,0.7054,0.4193,0.5711,0.5531,-0.10300000000000065
180.95,175.82484436035156,184.92,186.01,183.95,183.31,183.79,180.96,180.57,177.82,179.21,179.58,0.5531,0.8469,0.7667,0.7591,0.6293,0.5959,0.3597,0.5839,0.7054,0.4193,0.5711,-0.10300000000000065
179.58,177.3486328125,185.01,184.92,186.01,183.95,183.31,183.79,180.96,180.57,177.82,179.21,0.5711,0.8614,0.8469,0.7667,0.7591,0.6293,0.5959,0.3597,0.5839,0.7054,0.4193,-0.10300000000000065
179.21,178.46701049804688,183.96,185.01,184.92,186.01,183.95,183.31,183.79,180.96,180.57,177.82,0.4193,0.5341,0.8614,0.8469,0.7667,0.7591,0.6293,0.5959,0.3597,0.5839,0.7054,-0.10300000000000065
177.82,179.527587890625,187.0,183.96,185.01,184.92,186.01,183.95,183.31,183.79,180.96,180.57,0.7054,0.7046,0.5341,0.8614,0.8469,0.7667,0.7591,0.6293,0.5959,0.3597,0.5839,-0.10300000000000065
180.57,179.27505493164062,186.68,187.0,183.96,185.01,184.92,186.01,183.95,183.31,183.79,180.96,0.5839,0.6113,0.7046,0.5341,0.8614,0.8469,0.7667,0.7591,0.6293,0.5959,0.3597,-0.10300000000000065
180.96,178.98944091796875,185.27,186.68,187.0,183.96,185.01,184.92,186.01,183.95,183.31,183.79,0.3597,0.4406,0.6113,0.7046,0.5341,0.8614,0.8469,0.7667,0.7591,0.6293,0.5959,-0.10300000000000065
183.79,179.70004272460938,188.06,185.27,186.68,187.0,183.96,185.01,184.92,186.01,183.95,183.31,0.5959,0.1179,0.4406,0.6113,0.7046,0.5341,0.8614,0.8469,0.7667,0.7591,0.6293,-0.10300000000000065
183.31,180.5457305908203,189.25,188.06,185.27,186.68,187.0,183.96,185.01,184.92,186.01,183.95,0.6293,0.4795,0.1179,0.4406,0.6113,0.7046,0.5341,0.8614,0.8469,0.7667,0.7591,-0.10300000000000065
183.95,181.57937622070312,189.59,189.25,188.06,185.27,186.68,187.0,183.96,185.01,184.92,186.01,0.7591,0.3186,0.4795,0.1179,0.4406,0.6113,0.7046,0.5341,0.8614,0.8469,0.7667,-0.10300000000000065
186.01,182.829833984375,193.97,189.59,189.25,188.06,185.27,186.68,187.0,183.96,185.01,184.92,0.7667,0.5038,0.3186,0.4795,0.1179,0.4406,0.6113,0.7046,0.5341,0.8614,0.8469,-0.10300000000000065
184.92,183.9233856201172,192.46,193.97,189.59,189.25,188.06,185.27,186.68,187.0,183.96,185.01,0.8469,0.67,0.5038,0.3186,0.4795,0.1179,0.4406,0.6113,0.7046,0.5341,0.8614,-0.2030000000000003
185.01,184.52297973632812,191.33,192.46,193.97,189.59,189.25,188.06,185.27,186.68,187.0,183.96,0.8614,0.6044,0.67,0.5038,0.3186,0.4795,0.1179,0.4406,0.6113,0.7046,0.5341,-0.2030000000000003
183.96,184.3070068359375,191.81,191.33,192.46,193.97,189.59,189.25,188.06,185.27,186.68,187.0,0.5341,0.5653,0.6044,0.67,0.5038,0.3186,0.4795,0.1179,0.4406,0.6113,0.7046,-0.2030000000000003
187.0,184.4004669189453,190.68,191.81,191.33,192.46,193.97,189.59,189.25,188.06,185.27,186.68,0.7046,0.6327,0.5653,0.6044,0.67,0.5038,0.3186,0.4795,0.1179,0.4406,0.6113,-0.2030000000000003
186.68,184.8445281982422,188.61,190.68,191.81,191.33,192.46,193.97,189.59,189.25,188.06,185.27,0.6113,0.4885,0.6327,0.5653,0.6044,0.67,0.5038,0.3186,0.4795,0.1179,0.4406,-0.2030000000000003
185.27,185.3175048828125,188.08,188.61,190.68,191.81,191.33,192.46,193.97,189.59,189.25,188.06,0.4406,0.7313,0.4885,0.6327,0.5653,0.6044,0.67,0.5038,0.3186,0.4795,0.1179,-0.2030000000000003
188.06,185.4486846923828,189.77,188.08,188.61,190.68,191.81,191.33,192.46,193.97,189.59,189.25,0.1179,0.5314,0.7313,0.4885,0.6327,0.5653,0.6044,0.67,0.5038,0.3186,0.4795,-0.2030000000000003
